Species	Leaf.max.lenght (mm)	Leaf.max.lenght reference	Leaf.max.width (mm)	Leaf.max.width reference	Reproduction.mode	Reproduction.mode reference	Seed.bank.type	Seed.bank.type	Seed.max.size (mm)	Seed.max.size reference	Seeds.per.fruit 	Seeds.per.fruit  reference		
Zostera japonica	200	Kuo, J. & den Hartog, C. (2001).  Seagrass taxonomy and identification key.  In Global Seagrass Research Methods. Elsevier, pp. 31-58.	4	Kuo, J. & den Hartog, C. (2001).  Seagrass taxonomy and identification key.  In Global Seagrass Research Methods. Elsevier, pp. 31-58.	Monoecious	Jiang, K., Tsang, P.K.E., Xu, N.N., & Chen, X.Y. (2018). High genetic diversity and strong differentiation in dramatically fluctuating populations of Zostera japonica (Zosteraceae): implication for conservation. Journal of Plant Ecology, 11(5), 789–797.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	4	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Zostera marina 	900	Duffy, J. E., … & Olsen, J. L. (2022). A Pleistocene legacy structures variation in modern seagrass ecosystems. Proceedings of the National Academy of Sciences of the United States of America, 119(32), e2121425119.	23	Duffy, J. E., … & Olsen, J. L. (2022). A Pleistocene legacy structures variation in modern seagrass ecosystems. Proceedings of the National Academy of Sciences of the United States of America, 119(32), e2121425119.	Monoecious	Rodriguez-Prieto, C., Ballesteros, E., Boisset, F., & Afonso-Carrillo, J. (2013). Guía de las Macroalgas y fanaerógamas marinas del Mediterráneo occidental. Omega ediciones.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	4	Rodriguez-Prieto, C., Ballesteros, E., Boisset, F., & Afonso-Carrillo, J. (2013). Guía de las Macroalgas y fanaerógamas marinas del Mediterráneo occidental. Omega ediciones.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Zostera muelleri	500	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	2	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	1,7	Dos Santos, V.M., & Matheson, F.E. (2017). Higher seagrass cover and biomass increases sexual reproductive effort: A rare case study of Zostera muelleri in New Zealand. Aquatic Botany, 138, 29–36.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Zostera nigricaulis	500	Kuo, J. & den Hartog, C. (2001).  Seagrass taxonomy and identification key.  In Global Seagrass Research Methods. Elsevier, pp. 31-58.	5	Kuo, J. & den Hartog, C. (2001).  Seagrass taxonomy and identification key.  In Global Seagrass Research Methods. Elsevier, pp. 31-58.	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	4	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Zostera noltii	1000	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	1,5	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Rodriguez-Prieto, C., Ballesteros, E., Boisset, F., & Afonso-Carrillo, J. (2013). Guía de las Macroalgas y fanaerógamas marinas del Mediterráneo occidental. Omega ediciones.	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	2	Rodriguez-Prieto, C., Ballesteros, E., Boisset, F., & Afonso-Carrillo, J. (2013). Guía de las Macroalgas y fanaerógamas marinas del Mediterráneo occidental. Omega ediciones.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Zostera polychlamys	450	Kuo, J. (2005).  A revision of the genus Zostera (Zosteraceae) in Australia.  Aquatic Botany, 81(2), 97-140.	4	Kuo, J. (2005).  A revision of the genus Zostera (Zosteraceae) in Australia.  Aquatic Botany, 81(2), 97-140.	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	4	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
Zostera tasmanica	350	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	3	Kuo, J. & de Hertog, C. (2001). Seagrass taxonomy and identification key. Global Seagrass Research Methods: 31-78. Elsevier Science B.V., Amsterdam.	Monoecious	Waycott, M., McMahon, K., & Lavery, P. (2014). A guide to southern temperate seagrasses. CSIRO Publising. 	Transient	Orth, R.J., Harwell, M.C., Bailey, E.M., Bartholomew, A., Jawad, J.T., Lombana, A.V., Moore, K.A., Rhode, J.M., & Woods, H.E. (2000). A review of issues in seagrass seed dormancy and germination: implications for conservation and restoration. Marine Ecology Progress Series, 200, 277-288.	4	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.	1	Orth, R. J., Harwell, M. C., & Inglis, G. J. (2007). Ecology of seagrass seeds and seagrass dispersal processes. In Seagrasses: Biology, Ecologyand Conservation (pp. 111-133). Springer, Dordrecht.		
														
														
														
